============================== SRIM-2013.00 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.= He(4,75 MeV) ==> Mylar+Aluminium( 1261 A) =================
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T    1  2 ,4727547E+07   1261895E-03  ,4390E+00  ,2870E+00   ,9999989  ,0012952  ,0007410
T    2  2 ,4735280E+07   1262784E-03 -,1817E-01  ,6248E+00   ,9999993  ,0005124  ,0010692
T    3  2 ,4727094E+07   1263363E-03  ,3372E+00 -,3803E-01   ,9999995  ,0009532 -,0001438
T    4  2 ,4736682E+07   1263291E-03 -,3575E+00 -,6682E-02   ,9999953 -,0030559 -,0001497
T    5  2 ,4737028E+07   1262673E-03  ,9667E+00  ,5341E-01   ,9999969  ,0024235 -,0006061
T    6  2 ,4734605E+07   1261882E-03 -,6033E-01  ,2689E-01   ,9999993  ,0004441 -,0010530
T    7  2 ,4731918E+07   1261919E-03  ,1026E+00 -,1256E+00   ,9999999 -,0001835 -,0004479
T    8  2 ,4735137E+07   1262386E-03  ,5178E-01  ,1691E-01   ,9999999  ,0000664  ,0004524
T    9  2 ,4734151E+07   1262100E-03 -,7170E-01 -,4620E-01   ,9999922 -,0035145 -,0018267
T   10  2 ,4732292E+07   1262889E-03  ,6387E-01 -,2789E+00   ,9999996  ,0008997 -,0002211
T   11  2 ,4732938E+07   1261008E-03 -,4916E+00 -,4812E+00   ,9999985 -,0010909 -,0013119
T   12  2 ,4734819E+07   1263516E-03  ,1842E+01  ,8132E-02   ,9999939  ,0034762 -,0003268
T   13  2 ,4731991E+07   1262177E-03  ,5271E+00  ,2329E+00   ,9999997  ,0000255  ,0007167
T   14  2 ,4736001E+07   1262426E-03 -,1001E+02  ,2045E+00   ,9998403 -,0178658 -,0005029
T   15  2 ,4731970E+07   1263197E-03  ,1690E+00 -,7351E+00   ,9999995  ,0000777 -,0010206
T   16  2 ,4736029E+07   1262764E-03 -,1150E+01  ,5611E-02   ,9999939 -,0034438 -,0006427
T   17  2 ,4731280E+07   1261593E-03  ,8324E+00  ,2338E+00   ,9999990  ,0013860  ,0002977
T   18  2 ,4733702E+07   1262503E-03 -,5981E+00 -,5802E+00   ,9999990 -,0012556 -,0006285
T   19  2 ,4736254E+07   1263324E-03  ,2035E+00 -,1627E+00   ,9999991 -,0005154 -,0012335
T   20  2 ,4733948E+07   1261715E-03  ,2521E+00  ,3125E+00   ,9999999  ,0004917 -,0001730
T   21  2 ,4732332E+07   1261548E-03 -,3615E-01  ,7403E+00   ,9999999 -,0001760 -,0001745
T   22  2 ,4737297E+07   1262926E-03 -,1248E+00  ,1079E+01   ,9999956 -,0003474  ,0029481
T   23  2 ,4736656E+07   1261622E-03 -,3246E+00 -,1239E+00   ,9999986 -,0008109 -,0014712
T   24  2 ,4735924E+07   1261052E-03 -,3553E+00  ,2107E+00   ,9999939 -,0034696  ,0003741
T   25  2 ,4733302E+07   1263186E-03 -,5525E+00 -,2291E+00   ,9999995 -,0009418 -,0002433
T   26  2 ,4735569E+07   1262988E-03  ,5797E+00 -,1075E+00   ,9999985  ,0016731 -,0003422
T   27  2 ,4734898E+07   1261205E-03  ,9920E-01 -,5574E-01   ,9999999 -,0001754 -,0000233
T   28  2 ,4731064E+07   1262922E-03  ,4048E+00 -,4011E+00   ,9999997  ,0004935 -,0006692
T   29  2 ,4737253E+07   1262521E-03  ,1107E+01  ,3611E+00   ,9999989  ,0012099  ,0008219
T   30  2 ,4735212E+07   1263270E-03 -,1363E+00  ,3857E+00   ,9999995  ,0000336  ,0010006
T   31  2 ,4731818E+07   1262722E-03  ,4096E+00 -,3497E-01   ,9999997  ,0007462 -,0003489
T   32  2 ,4728346E+07   1262502E-03 -,5330E-01 -,1686E+00   ,9999997 -,0001493 -,0007961
T   33  2 ,4734271E+07   1261912E-03  ,4983E+00 -,5048E-01   ,9999989  ,0014473  ,0003751
T   34  2 ,4733489E+07   1262134E-03  ,2836E+00 -,1155E+00   ,9999996  ,0006629  ,0005941
T   35  2 ,4731481E+07   1263547E-03  ,2937E+00  ,4731E+00   ,9999999  ,0002227 -,0004480
T   36  2 ,4735268E+07   1262241E-03 -,3854E+00 -,3751E+00   ,9999985 -,0014400 -,0009452
T   37  2 ,4734543E+07   1261054E-03 -,5597E-01  ,1688E+00   ,9999996 -,0001158  ,0008772
T   38  2 ,4731284E+07   1261159E-03 -,7176E+00 -,5945E-02   ,9999994 -,0010566  ,0001544
T   39  2 ,4731971E+07   1262182E-03  ,2661E-01 -,8645E-01   ,9999999  ,0002525 -,0001743
T   40  2 ,4730498E+07   1263471E-03 -,4419E-01 -,4787E+00   ,9999997  ,0000747 -,0007792
T   41  2 ,4732587E+07   1261838E-03  ,4240E-02 -,1188E+00   ,9999986 -,0002695  ,0016459
T   42  2 ,4736327E+07   1263517E-03 -,5911E-01  ,2683E-01   ,9999997 -,0003471  ,0006725
T   43  2 ,4735898E+07   1262037E-03  ,7657E-01  ,1694E+00   ,9999999 -,0000842  ,0003923
T   44  2 ,4735526E+07   1262454E-03 -,2267E+00 -,7143E-01   ,9999999  ,0003319  ,0003845
T   45  2 ,4734982E+07   1262137E-03 -,5425E+00  ,1011E+01   ,9999992 -,0005351  ,0011108
T   46  2 ,4735725E+07   1261214E-03  ,9322E-01 -,3218E+00   ,9999998 -,0004025 -,0005338
T   47  2 ,4733136E+07   1263173E-03 -,2491E+00 -,1263E+00   ,9999996 -,0007723  ,0004308
T   48  2 ,4732193E+07   1263197E-03  ,3675E+00 -,2834E+00   ,9999996  ,0008521 -,0001645
T   49  2 ,4735445E+07   1262403E-03 -,7363E+00  ,6166E+00   ,9999979 -,0009075  ,0018344
T   50  2 ,4733000E+07   1261262E-03  ,1227E+00  ,1793E+00   ,9999995 -,0009342  ,0003206
