============================== SRIM-2013.00 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.= He(1,4 MeV) ==> Mylar+Aluminium( 1261 A) ==================
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T    1  2 ,1368845E+07   1263114E-03 -,1935E+01  ,6439E-01   ,9999939 -,0033713 -,0008654
T    2  2 ,1370680E+07   1262830E-03 -,1425E+01  ,1498E+01   ,9999491 -,0027242  ,0097108
T    3  2 ,1370860E+07   1261727E-03  ,8224E+00  ,9712E+00   ,9999929  ,0019396  ,0032197
T    4  2 ,1371034E+07   1261539E-03 -,5090E+00  ,5439E+00   ,9999956  ,0014320 -,0026062
T    5  2 ,1372353E+07   1262834E-03 -,7366E+00 -,2004E+01   ,9999883 -,0039467 -,0027825
T    6  2 ,1368330E+07   1262863E-03  ,4043E-02 -,2807E+00   ,9999962 -,0010711 -,0025529
T    7  2 ,1368386E+07   1263152E-03 -,7142E-01  ,6565E+00   ,9999993 -,0002895 -,0011077
T    8  2 ,1364887E+07   1262237E-03 -,2772E+01  ,2012E+01   ,9999847 -,0043472  ,0034352
T    9  2 ,1374510E+07   1262666E-03 -,8504E+00 -,4787E+00   ,9999943 -,0023065 -,0024707
T   10  2 ,1360510E+07   1263177E-03  ,1137E+01 -,2570E+01   ,9999897  ,0003300 -,0045310
T   11  2 ,1366024E+07   1262871E-03  ,1405E+00  ,3354E+00   ,9999966 -,0012475  ,0022700
T   12  2 ,1367853E+07   1261322E-03 -,2464E+00 -,2130E+00   ,9999990 -,0013543  ,0003337
T   13  2 ,1370064E+07   1262135E-03 -,6230E+00  ,4072E+01   ,9999897 -,0018569  ,0041431
T   14  2 ,1368785E+07   1263222E-03 -,7876E+00 -,7771E+00   ,9999966 -,0024882 -,0007469
T   15  2 ,1368686E+07   1261442E-03 -,5813E+00  ,1024E+00   ,9999949  ,0020965 -,0023952
T   16  2 ,1368031E+07   1261285E-03 -,1320E+01  ,3252E+01   ,9999688 -,0027176  ,0074177
