Particle, PH, ToF, MCP PH
p577, 16.702653, 73.925842, 14.42
p577, 16.736965, 78.624206, 21.274999
p577, 17.114034, 80.465606, 61.59288
p577, 16.996484, 74.885376, 15.283333
p577, 16.950149, 71.966186, 16.351667
p577, 17.121355, 72.943664, 32.376667
p577, 17.034662, 74.465942, 53.313716
p577, 16.352008, 72.162719, 64.146667
p577, 16.376098, 71.62564, 5.96
p577, 17.094171, 73.396759, 16.792179
p577, 16.907009, 74.469726, 6.6416668
p577, 16.865472, 76.759277, 6.69
p577, 16.92807, 75.962341, 96.794998
p577, 16.386337, 76.615997, 45.451667
p577, 17.075899, 73.299957, 17.604999
p577, 17.233123, 75.808868, 34.289165
p577, 16.305873, 72.064849, 58.893333
p577, 16.832698, 185.38678, 5.19
p577, 16.705778, 75.764129, 29.359762
p577, 16.883741, 78.52771, 6.4016666
p577, 16.724744, 72.054565, 28.186428
p577, 17.043977, 75.023345, 69.243331
p577, 16.717584, 69.592437, 45.158332
p577, 17.063753, 76.836547, 27.229999
p577, 16.822921, 77.78482, 19.351667
p577, 16.714954, 74.411041, 26.936666
p577, 17.040391, 73.986816, 58.666667
p577, 16.675796, 69.1221, 41.279998
p577, 16.799856, 75.05194, 47.933334
p577, 16.629022, 70.161926, 40.505001
p577, 16.43831, 73.988647, 31.955909
p577, 16.742452, 71.699829, 27.843334
p577, 16.835388, 75.622863, 64.311088
p577, 16.957748, 45.948211, 5.3016667
p577, 16.752355, 71.641449, 80.501663
p577, 17.263025, 202.41516, 6.2116665
p577, 17.286851, 67.250366, 16.75
p577, 16.761945, 78.022766, 9.4633331
p577, 17.007785, 75.763488, 26.8325
p577, 16.920246, 66.345581, 18.151666
p577, 17.514375, 76.036315, 43.674999
p577, 16.81262, 68.941345, 9.3800001
p577, 17.002067, 73.080169, 27.203094
p577, 16.868413, 74.191528, 25.826665
p577, 16.807146, 73.740448, 27.317857
p577, 16.995878, 74.417388, 86.686111
p577, 16.621622, 69.623016, 38.041427
p577, 16.979578, 75.276184, 36.227382
p577, 17.02419, 73.89801, 20.331666
p577, 16.640543, 74.014923, 5.4316668
p577, 17.097339, 70.074401, 39.373333
p577, 16.911129, 76.634765, 40.151668
p577, 16.558948, 75.449615, 27.354999
p577, 16.744016, 76.980957, 10.201666
p577, 16.658315, 74.116485, 81.236663
p577, 16.461385, 70.931823, 35.968334
p577, 16.646585, 70.430725, 9.5083332
p577, 17.052524, 70.57724, 33.563331
p577, 16.577421, 75.78659, 34.990001
p577, 17.161418, 70.873535, 10.318333
p577, 17.136941, 69.912292, 8.9383335
p577, 17.012847, 72.733154, 20.286666
p577, 17.093, 68.303985, 47.965908
p577, 16.568643, 75.031738, 14.229999
p577, 16.470495, 73.155761, 23.965
p577, 17.094602, 72.555511, 31.461275
p577, 16.421146, 74.559295, 5.1366667
p577, 16.657465, 80.39505, 16.987381
p577, 17.353508, 71.585571, 46.546665
p577, 17.266876, 73.5625, 12.359999
p577, 16.536659, 76.108825, 33.240001
p577, 16.683359, 71.161071, 7.7683334
p577, 16.73941, 77.739563, 40.935001
p577, 16.634922, 75.505981, 31.356666
p577, 16.581497, 75.392456, 29.639848
p577, 17.066721, 73.584503, 29.68
p577, 16.772195, 75.404144, 71.581665
p577, 17.221757, 76.396698, 25.004047
p577, 16.764886, 71.947326, 49.261665
p577, 16.785873, 72.015747, 22.01
p577, 16.67786, 68.971252, 84.34333
p577, 16.898685, 73.719726, 37.712501
p577, 16.89265, 70.973602, 38.27
p577, 17.039707, 73.075195, 16.895
p577, 16.301265, 75.16455, 15.279999
p577, 17.195791, 69.620117, 9.7859087
p577, 17.098524, 72.767364, 10.403333
p577, 16.52021, 66.957489, 19.641666
p577, 16.522499, 76.053558, 57.159999
p577, 16.777898, 75.352508, 102.61
p577, 17.231393, 70.313262, 15.816666
p577, 16.645006, 70.713592, 66.618331
p577, 16.93333, 76.652252, 31.552499
p577, 17.122818, 71.232971, 66.114997
p577, 16.688377, 72.245666, 26.621666
p577, 16.725065, 478.57893, 5.2110605
p577, 16.641172, 74.769958, 5.1666665
p577, 16.668247, 74.532165, 35.52705
p577, 17.353349, 77.736206, 29.471666
p577, 16.732124, 75.505554, 17.696666
p577, 16.924146, 253.2854, 5.1500001
p577, 17.276779, 75.130432, 86.762146
p577, 16.706525, 77.368591, 72.352142
p577, 16.322341, 78.042663, 24.651666
p577, 16.636663, 72.299438, 47.979999
p577, 16.844068, 70.113006, 22.79
p577, 16.744192, 78.67572, 40.325878
p577, 17.101762, 76.660675, 25.496429
p577, 17.032825, 72.052093, 40.406539
p577, 16.800167, 75.878479, 40.255001
p577, 17.008113, 68.891296, 57.651275
p577, 16.409174, 74.713195, 86.348335
p577, 16.855152, 72.799438, 30.078332
p577, 16.63875, 76.138732, 131.54545
p577, 16.716178, 75.878906, 27.626667
p577, 17.056129, 74.870147, 39.009761
p577, 16.878873, 74.486053, 16.370714
p577, 17.16842, 76.435211, 41.816665
p577, 16.565544, 77.588256, 32.025001
p577, 16.303434, 75.92987, 42.828334
p577, 16.790805, 75.729278, 50.169998
p577, 16.919233, 75.136444, 82.386665
p577, 16.641181, 75.795623, 33.095001
p577, 17.3915, 74.326843, 8.1850004
p577, 16.833591, 70.208374, 13.27
p577, 17.463336, 74.708984, 48.916538
p577, 16.995393, 69.998352, 10.06
p577, 17.056652, 73.104797, 78.778335
p577, 16.648458, 346.90332, 5.1916666
p577, 16.8528, 75.141967, 14.024523
p577, 16.416366, 73.316558, 38.477726
p577, 16.778596, 73.356811, 57.968334
p577, 16.871133, 68.804901, 26.731666
p577, 17.064012, 68.700653, 53.599582
p577, 16.814527, 85.067413, 5.2878203
p577, 17.035665, 73.848419, 28.368333
p577, 16.992956, 159.04727, 5.4516668
p577, 16.825498, 69.505218, 79.449699
p577, 17.232845, 125.6593, 5.194487
p577, 17.166854, 71.363922, 5.2766666
p577, 16.997509, 75.359649, 14.076666
p577, 17.156662, 73.694061, 12.093094
p577, 16.839445, 73.654113, 17.498333
p577, 16.307107, 75.756713, 12.296667
p577, 16.83023, 76.054931, 43.400001
p577, 16.79429, 68.644165, 36.689998
p577, 16.348453, 216.85415, 5.8311538
p577, 16.815647, 76.459594, 17.737857
p577, 16.586999, 73.811065, 20.226667
p577, 16.692464, 68.653076, 19.155
p577, 17.012811, 70.641784, 38.956665
p577, 17.229736, 73.578735, 16.755832
p577, 16.921262, 75.96698, 19.273332
p577, 16.94194, 72.598236, 5.8564286
p577, 16.517946, 69.080535, 6.7216668
p577, 16.69004, 76.211181, 30.531665
p577, 16.781057, 69.472351, 57.929523
p577, 16.913927, 74.814025, 47.537548
p577, 16.990512, 75.817047, 18.446666
p577, 16.715715, 69.036315, 6.6383333
p577, 17.049751, 73.646484, 37.076667
p577, 16.572837, 78.249328, 20.79
p577, 17.109987, 73.419097, 19.928333
p577, 16.584114, 77.984497, 21.899999
p577, 17.558475, 70.933868, 31.183332
p577, 17.076475, 76.285156, 43.479999
p577, 16.812187, 79.141265, 53.637805
p577, 16.952484, 75.88919, 19.534999
p577, 16.817802, 70.537445, 15.496666
p577, 16.877004, 72.229492, 35.041667
p577, 16.697698, 75.746276, 15.623333
p577, 16.948886, 73.914093, 89.604789
p577, 16.874954, 78.434783, 61.819545
p577, 16.544368, 72.959106, 72.085952
p577, 17.043989, 70.574066, 53.080001
p577, 17.368124, 78.828491, 6.7716665
p577, 16.893135, 71.594909, 25.651666
p577, 16.336248, 70.469543, 111.98583
p577, 17.099418, 74.107879, 40.402877
p577, 17.103603, 75.232696, 38.462501
p577, 16.944839, 73.887878, 9.0258331
p577, 16.816581, 77.737823, 35.972721
p577, 16.799886, 73.542053, 16.848333
p577, 16.746862, 74.915008, 32.432498
p577, 16.829513, 71.630096, 60.759998
