************************************
*   Event  *     PH    *    ToF    *
************************************
*        8 * 16.702653 * 73.925842 *
*        9 * 16.736965 * 78.624206 *
*       12 * 17.114034 * 80.465606 *
*       16 * 16.996484 * 74.885376 *
*       17 * 16.950149 * 71.966186 *
*       18 * 17.121355 * 72.943664 *
*       19 * 17.034662 * 74.465942 *
*       22 * 16.352008 * 72.162719 *
*       23 * 16.376098 * 71.625640 *
*       24 * 17.094171 * 73.396759 *
*       26 * 16.907009 * 74.469726 *
*       33 * 16.865472 * 76.759277 *
*       36 * 16.928070 * 75.962341 *
*       45 * 16.688085 * -1085.388 *
*       48 * 16.386337 * 76.615997 *
*       49 * 17.075899 * 73.299957 *
*       51 * 17.233123 * 75.808868 *
*       52 * 33.827835 * 72.308654 *
*       57 * 34.055835 * 76.723022 *
*       58 * 16.305873 * 72.064849 *
*       62 * 16.832698 * 185.38678 *
*       63 * 16.705778 * 75.764129 *
*       67 * 16.883741 *  78.52771 *
*       68 * 16.889154 * -883.6291 *
*       79 * 16.724744 * 72.054565 *
*       80 * 17.043977 * 75.023345 *
*       85 * 16.717584 * 69.592437 *
*       86 * 16.902898 * -1231.840 *
*       88 * 17.063753 * 76.836547 *
*       89 * 16.822921 * 77.784820 *
*       92 * 16.714954 * 74.411041 *
*       96 * 17.040391 * 73.986816 *
*       98 * 16.675796 * 69.122100 *
*      100 * 16.799856 * 75.051940 *
*      108 * 16.912353 * -95.80053 *
*      110 * 17.012188 * -588.1242 *
*      123 * 16.629022 * 70.161926 *
*      129 * 16.438310 * 73.988647 *
*      134 * 16.952230 * -640.7979 *
*      141 * 16.742452 * 71.699829 *
*      142 * 16.835388 * 75.622863 *
*      150 * 16.957748 * 45.948211 *
*      152 * 16.752355 * 71.641449 *
*      153 * 17.263025 * 202.41516 *
*      155 * 17.286851 * 67.250366 *
*      163 * 16.761945 * 78.022766 *
*      168 * 17.007785 * 75.763488 *
*      169 * 16.920246 * 66.345581 *
*      172 * 34.430965 * 75.739715 *
*      179 * 17.514375 * 76.036315 *
*      180 * 16.812620 * 68.941345 *
*      187 * 17.002067 * 73.080169 *
*      197 * 16.868413 * 74.191528 *
